
 Block_Name=0	 Block_Index=0	 Block_Tier=3
 Block_Name=1	 Block_Index=1	 Block_Tier=1
 Block_Name=2	 Block_Index=2	 Block_Tier=3
 Block_Name=3	 Block_Index=3	 Block_Tier=4
 Block_Name=4	 Block_Index=4	 Block_Tier=2
 Block_Name=5	 Block_Index=5	 Block_Tier=2
 Block_Name=6	 Block_Index=6	 Block_Tier=4
 Block_Name=7	 Block_Index=7	 Block_Tier=4
 Block_Name=8	 Block_Index=8	 Block_Tier=4
 Block_Name=9	 Block_Index=9	 Block_Tier=1
 Block_Name=10	 Block_Index=10	 Block_Tier=2
 Block_Name=11	 Block_Index=11	 Block_Tier=4
 Block_Name=12	 Block_Index=12	 Block_Tier=4
 Block_Name=13	 Block_Index=13	 Block_Tier=0
 Block_Name=14	 Block_Index=14	 Block_Tier=3
 Block_Name=15	 Block_Index=15	 Block_Tier=1
 Block_Name=16	 Block_Index=16	 Block_Tier=4
 Block_Name=17	 Block_Index=17	 Block_Tier=4
 Block_Name=18	 Block_Index=18	 Block_Tier=4
 Block_Name=19	 Block_Index=19	 Block_Tier=0
 Block_Name=20	 Block_Index=20	 Block_Tier=0
 Block_Name=21	 Block_Index=21	 Block_Tier=1
 Block_Name=22	 Block_Index=22	 Block_Tier=4
 Block_Name=23	 Block_Index=23	 Block_Tier=4
 Block_Name=24	 Block_Index=24	 Block_Tier=4
 Block_Name=25	 Block_Index=25	 Block_Tier=1
 Block_Name=26	 Block_Index=26	 Block_Tier=3
 Block_Name=27	 Block_Index=27	 Block_Tier=2
 Block_Name=28	 Block_Index=28	 Block_Tier=0
 Block_Name=29	 Block_Index=29	 Block_Tier=4
 Block_Name=30	 Block_Index=30	 Block_Tier=2
 Block_Name=31	 Block_Index=31	 Block_Tier=0
 Block_Name=32	 Block_Index=32	 Block_Tier=1
 Block_Name=33	 Block_Index=33	 Block_Tier=1
 Block_Name=34	 Block_Index=34	 Block_Tier=3
 Block_Name=35	 Block_Index=35	 Block_Tier=2
 Block_Name=36	 Block_Index=36	 Block_Tier=0
 Block_Name=37	 Block_Index=37	 Block_Tier=2
 Block_Name=38	 Block_Index=38	 Block_Tier=1
 Block_Name=39	 Block_Index=39	 Block_Tier=0
 Block_Name=40	 Block_Index=40	 Block_Tier=2
 Block_Name=41	 Block_Index=41	 Block_Tier=4
 Block_Name=42	 Block_Index=42	 Block_Tier=0
 Block_Name=43	 Block_Index=43	 Block_Tier=0
 Block_Name=44	 Block_Index=44	 Block_Tier=4
 Block_Name=45	 Block_Index=45	 Block_Tier=3
 Block_Name=46	 Block_Index=46	 Block_Tier=2
 Block_Name=47	 Block_Index=47	 Block_Tier=1
 Block_Name=48	 Block_Index=48	 Block_Tier=0
 Block_Name=49	 Block_Index=49	 Block_Tier=4
 Block_Name=50	 Block_Index=50	 Block_Tier=1
 Block_Name=51	 Block_Index=51	 Block_Tier=2
 Block_Name=52	 Block_Index=52	 Block_Tier=3
 Block_Name=53	 Block_Index=53	 Block_Tier=2
 Block_Name=54	 Block_Index=54	 Block_Tier=2
 Block_Name=55	 Block_Index=55	 Block_Tier=4
 Block_Name=56	 Block_Index=56	 Block_Tier=1
 Block_Name=57	 Block_Index=57	 Block_Tier=4
 Block_Name=58	 Block_Index=58	 Block_Tier=4
 Block_Name=59	 Block_Index=59	 Block_Tier=2
 Block_Name=60	 Block_Index=60	 Block_Tier=4
 Block_Name=61	 Block_Index=61	 Block_Tier=4
 Block_Name=62	 Block_Index=62	 Block_Tier=3
 Block_Name=63	 Block_Index=63	 Block_Tier=1
 Block_Name=64	 Block_Index=64	 Block_Tier=3
 Block_Name=65	 Block_Index=65	 Block_Tier=1
 Block_Name=66	 Block_Index=66	 Block_Tier=1
 Block_Name=67	 Block_Index=67	 Block_Tier=4
 Block_Name=68	 Block_Index=68	 Block_Tier=3
 Block_Name=69	 Block_Index=69	 Block_Tier=1
 Block_Name=70	 Block_Index=70	 Block_Tier=0
 Block_Name=71	 Block_Index=71	 Block_Tier=0
 Block_Name=72	 Block_Index=72	 Block_Tier=0
 Block_Name=73	 Block_Index=73	 Block_Tier=3
 Block_Name=74	 Block_Index=74	 Block_Tier=4
 Block_Name=75	 Block_Index=75	 Block_Tier=2
 Block_Name=76	 Block_Index=76	 Block_Tier=0
 Block_Name=77	 Block_Index=77	 Block_Tier=4
 Block_Name=78	 Block_Index=78	 Block_Tier=2
 Block_Name=79	 Block_Index=79	 Block_Tier=1
 Block_Name=80	 Block_Index=80	 Block_Tier=3
 Block_Name=81	 Block_Index=81	 Block_Tier=2
 Block_Name=82	 Block_Index=82	 Block_Tier=4
 Block_Name=83	 Block_Index=83	 Block_Tier=2
 Block_Name=84	 Block_Index=84	 Block_Tier=2
 Block_Name=85	 Block_Index=85	 Block_Tier=1
 Block_Name=86	 Block_Index=86	 Block_Tier=1
 Block_Name=87	 Block_Index=87	 Block_Tier=3
 Block_Name=88	 Block_Index=88	 Block_Tier=3
 Block_Name=89	 Block_Index=89	 Block_Tier=1
 Block_Name=90	 Block_Index=90	 Block_Tier=4
 Block_Name=91	 Block_Index=91	 Block_Tier=1
 Block_Name=92	 Block_Index=92	 Block_Tier=4
 Block_Name=93	 Block_Index=93	 Block_Tier=3
 Block_Name=94	 Block_Index=94	 Block_Tier=2
 Block_Name=95	 Block_Index=95	 Block_Tier=1
 Block_Name=96	 Block_Index=96	 Block_Tier=2
 Block_Name=97	 Block_Index=97	 Block_Tier=2
 Block_Name=98	 Block_Index=98	 Block_Tier=1
 Block_Name=99	 Block_Index=99	 Block_Tier=1
 Block_Name=100	 Block_Index=100	 Block_Tier=0
 Block_Name=101	 Block_Index=101	 Block_Tier=3
 Block_Name=102	 Block_Index=102	 Block_Tier=4
 Block_Name=103	 Block_Index=103	 Block_Tier=2
 Block_Name=104	 Block_Index=104	 Block_Tier=2
 Block_Name=105	 Block_Index=105	 Block_Tier=2
 Block_Name=106	 Block_Index=106	 Block_Tier=3
 Block_Name=107	 Block_Index=107	 Block_Tier=4
 Block_Name=108	 Block_Index=108	 Block_Tier=2
 Block_Name=109	 Block_Index=109	 Block_Tier=1
 Block_Name=110	 Block_Index=110	 Block_Tier=4
 Block_Name=111	 Block_Index=111	 Block_Tier=0
 Block_Name=112	 Block_Index=112	 Block_Tier=3
 Block_Name=113	 Block_Index=113	 Block_Tier=3
 Block_Name=114	 Block_Index=114	 Block_Tier=0
 Block_Name=115	 Block_Index=115	 Block_Tier=1
 Block_Name=116	 Block_Index=116	 Block_Tier=1
 Block_Name=117	 Block_Index=117	 Block_Tier=4
 Block_Name=118	 Block_Index=118	 Block_Tier=4
 Block_Name=119	 Block_Index=119	 Block_Tier=4
 Block_Name=120	 Block_Index=120	 Block_Tier=1
 Block_Name=121	 Block_Index=121	 Block_Tier=1
 Block_Name=122	 Block_Index=122	 Block_Tier=3
 Block_Name=123	 Block_Index=123	 Block_Tier=2
 Block_Name=124	 Block_Index=124	 Block_Tier=0
 Block_Name=125	 Block_Index=125	 Block_Tier=0
 Block_Name=126	 Block_Index=126	 Block_Tier=0
 Block_Name=127	 Block_Index=127	 Block_Tier=0
 Block_Name=128	 Block_Index=128	 Block_Tier=2
 Block_Name=129	 Block_Index=129	 Block_Tier=0
 Block_Name=130	 Block_Index=130	 Block_Tier=1
 Block_Name=131	 Block_Index=131	 Block_Tier=4
 Block_Name=132	 Block_Index=132	 Block_Tier=0
 Block_Name=133	 Block_Index=133	 Block_Tier=4
 Block_Name=134	 Block_Index=134	 Block_Tier=1
 Block_Name=135	 Block_Index=135	 Block_Tier=3
 Block_Name=136	 Block_Index=136	 Block_Tier=2
 Block_Name=137	 Block_Index=137	 Block_Tier=0
 Block_Name=138	 Block_Index=138	 Block_Tier=3
 Block_Name=139	 Block_Index=139	 Block_Tier=4
 Block_Name=140	 Block_Index=140	 Block_Tier=3
 Block_Name=141	 Block_Index=141	 Block_Tier=2
 Block_Name=142	 Block_Index=142	 Block_Tier=1
 Block_Name=143	 Block_Index=143	 Block_Tier=0
 Block_Name=144	 Block_Index=144	 Block_Tier=0
 Block_Name=145	 Block_Index=145	 Block_Tier=1
 Block_Name=146	 Block_Index=146	 Block_Tier=3
 Block_Name=147	 Block_Index=147	 Block_Tier=3
 Block_Name=148	 Block_Index=148	 Block_Tier=4
 Block_Name=149	 Block_Index=149	 Block_Tier=2
 Block_Name=150	 Block_Index=150	 Block_Tier=0
 Block_Name=151	 Block_Index=151	 Block_Tier=3
 Block_Name=152	 Block_Index=152	 Block_Tier=4
 Block_Name=153	 Block_Index=153	 Block_Tier=4
 Block_Name=154	 Block_Index=154	 Block_Tier=0
 Block_Name=155	 Block_Index=155	 Block_Tier=4
 Block_Name=156	 Block_Index=156	 Block_Tier=4
 Block_Name=157	 Block_Index=157	 Block_Tier=1
 Block_Name=158	 Block_Index=158	 Block_Tier=3
 Block_Name=159	 Block_Index=159	 Block_Tier=0
 Block_Name=160	 Block_Index=160	 Block_Tier=3
 Block_Name=161	 Block_Index=161	 Block_Tier=1
 Block_Name=162	 Block_Index=162	 Block_Tier=1
 Block_Name=163	 Block_Index=163	 Block_Tier=1
 Block_Name=164	 Block_Index=164	 Block_Tier=1
 Block_Name=165	 Block_Index=165	 Block_Tier=4
 Block_Name=166	 Block_Index=166	 Block_Tier=2
 Block_Name=167	 Block_Index=167	 Block_Tier=1
 Block_Name=168	 Block_Index=168	 Block_Tier=0
 Block_Name=169	 Block_Index=169	 Block_Tier=0
 Block_Name=170	 Block_Index=170	 Block_Tier=1
 Block_Name=171	 Block_Index=171	 Block_Tier=0
 Block_Name=172	 Block_Index=172	 Block_Tier=2
 Block_Name=173	 Block_Index=173	 Block_Tier=1
 Block_Name=174	 Block_Index=174	 Block_Tier=0
 Block_Name=175	 Block_Index=175	 Block_Tier=3
 Block_Name=176	 Block_Index=176	 Block_Tier=2
 Block_Name=177	 Block_Index=177	 Block_Tier=4
 Block_Name=178	 Block_Index=178	 Block_Tier=0
 Block_Name=179	 Block_Index=179	 Block_Tier=3
 Block_Name=180	 Block_Index=180	 Block_Tier=3
 Block_Name=181	 Block_Index=181	 Block_Tier=1
 Block_Name=182	 Block_Index=182	 Block_Tier=0
 Block_Name=183	 Block_Index=183	 Block_Tier=2
 Block_Name=184	 Block_Index=184	 Block_Tier=0
 Block_Name=185	 Block_Index=185	 Block_Tier=2
 Block_Name=186	 Block_Index=186	 Block_Tier=0
 Block_Name=187	 Block_Index=187	 Block_Tier=4
 Block_Name=188	 Block_Index=188	 Block_Tier=3
 Block_Name=189	 Block_Index=189	 Block_Tier=0
 Block_Name=190	 Block_Index=190	 Block_Tier=3
 Block_Name=191	 Block_Index=191	 Block_Tier=4
 Block_Name=192	 Block_Index=192	 Block_Tier=0
 Block_Name=193	 Block_Index=193	 Block_Tier=0
 Block_Name=194	 Block_Index=194	 Block_Tier=0
 Block_Name=195	 Block_Index=195	 Block_Tier=4
 Block_Name=196	 Block_Index=196	 Block_Tier=0
 Block_Name=197	 Block_Index=197	 Block_Tier=1
 Block_Name=198	 Block_Index=198	 Block_Tier=4
 Block_Name=199	 Block_Index=199	 Block_Tier=2
